abandoning abandon abandons abandoned
abased abasing abases abase
abating abate abates abated
abbreviated abbreviate abbreviating abbreviates
abdicates abdicating abdicated abdicate
abducted abducting abducts abduct
abetting abetted abet abets
abhorring abhor abhors abhorred
abide abiding abided abides
abode abide abiding abides
abjured abjuring abjure abjures
abolishes abolish abolished abolishing
abominated abominates abominating abominate
abort aborted aborts aborting
abounds abounding abound abounded
abrades abrade abraded abrading
abridging abridge abridges abridged
abrogates abrogate abrogated abrogating
abscond absconds absconded absconding
abseil abseiling abseiled abseils
absenting absent absents absented
absolves absolving absolved absolve
absorbed absorbing absorbs absorb
abstaining abstained abstains abstain
abstract abstracts abstracted abstracting
abuses abuse abusing abused
abuts abutted abut abutting
acceding accedes acceded accede
accelerates accelerating accelerate accelerated
accent accenting accented accents
accentuating accentuated accentuates accentuate
accepting accept accepts accepted
accessing accesses accessed access
accessorising accessorise accessorised accessorises
accessorize accessorizing accessorized accessorizes
acclaim acclaims acclaiming acclaimed
acclimating acclimate acclimated acclimates
acclimatises acclimatise acclimatising acclimatised
acclimatizes acclimatized acclimatize acclimatizing
accommodate accommodated accommodating accommodates
accompany accompanied accompanying accompanies
accomplishes accomplishing accomplish accomplished
accord according accords accorded
accosting accosts accost accosted
accounted accounts account accounting
accoutres accoutring accoutre accoutred
accredits accredited accredit accrediting
accrued accrues accruing accrue
acculturate acculturated acculturating acculturates
accumulate accumulated accumulating accumulates
accuse accuses accusing accused
accustoming accustoms accustomed accustom
acing aces aced ace
aches ache ached aching
achieves achieved achieve achieving
acidified acidifying acidify acidifies
acknowledged acknowledge acknowledging acknowledges
acquaints acquainted acquaint acquainting
acquiesce acquiesces acquiescing acquiesced
acquired acquires acquiring acquire
acquits acquitting acquitted acquit
acting acted acts act
actioning action actioned actions
activate activates activating activated
actualises actualising actualise actualised
actualizing actualized actualize actualizes
actuates actuating actuated actuate
ad-libbing ad-lib ad-libbed ad-libs
adapting adapted adapts adapt
add added adding adds
addling addles addle addled
addressed addressing address addresses
adduces adducing adduce adduced
adheres adhered adhering adhere
adjoins adjoining adjoined adjoin
adjourning adjourned adjourns adjourn
adjudged adjudging adjudge adjudges
adjudicate adjudicating adjudicates adjudicated
adjures adjured adjure adjuring
adjusting adjust adjusts adjusted
adlibs adlibbing adlibbed adlib
administer administers administered administering
admires admired admiring admire
admits admit admitted admitting
admonished admonishing admonish admonishes
adopting adopts adopted adopt
adored adoring adores adore
adorn adorning adorns adorned
adsorbing adsorbed adsorbs adsorb
adulterated adulterate adulterates adulterating
